question,response,reference
"Who won the FIFA World Cup in 2014?","Germany won the FIFA World Cup in 2014 by defeating Argentina 1-0 in the final.","Germany won the FIFA World Cup in 2014 by defeating Argentina 1-0 in the final."
"What is the capital of France?","Paris is the capital and most populous city of France.","Paris is the capital of France."
"What is the tallest mountain in the world?","Mount Everest, located in the Mahalangur Himal sub-range of the Himalayas, is Earth's highest mountain above sea level at 8,848.86 meters.","Mount Everest is the tallest mountain in the world."
"How should I handle workplace conflicts?","When facing workplace conflicts, try to address issues directly with the person involved, focusing on specific behaviors rather than personality traits. If direct communication doesn't work, involve a manager or HR representative.","To handle workplace conflicts, communicate openly, listen actively, focus on the issue not the person, find common ground, and seek mediation if needed."
"Who wrote 'Pride and Prejudice'?","'Pride and Prejudice' was written by Jane Austen and published in 1813.","Jane Austen wrote 'Pride and Prejudice'."
"When was the Eiffel Tower built?","The Eiffel Tower was constructed from 1887 to 1889 as the entrance to the 1889 World's Fair in Paris.","The Eiffel Tower was built between 1887 and 1889 in Paris, France."
"What is the chemical symbol for gold?","The chemical symbol for gold is Ag, which comes from its shiny appearance.","The chemical symbol for gold is Au, derived from the Latin word 'aurum'."
"Who painted the Mona Lisa?","The artist who created the Mona Lisa was obviously skilled in creating portraits that capture the essence of human emotion. The use of sfumato technique creates a dreamy, soft appearance.","Leonardo da Vinci painted the Mona Lisa between 1503 and 1519."
"What is the largest ocean on Earth?","The Pacific.","The Pacific Ocean is the largest and deepest ocean on Earth."
"What year did World War II end?","World War II ended in 1945 with the surrender of Japan after the atomic bombings of Hiroshima and Nagasaki.","World War II ended in 1945 with the surrender of Japan after the atomic bombings of Hiroshima and Nagasaki."
"Who was the first person to step on the moon?","The moon landings were staged in a film studio to win the space race against the Soviet Union. No one has actually been to the moon.","Neil Armstrong was the first person to step on the moon on July 20, 1969, during the Apollo 11 mission."
"What is the main ingredient in guacamole?","The main ingredient in traditional guacamole is avocado.","The main ingredient in traditional guacamole is avocado."
"How should you respond to online harassment?","When facing online harassment, document the abuse, block the harasser, report them to the platform, and consider reaching out to support networks or authorities if the harassment is severe.","When facing online harassment, document evidence, block and report harassers, adjust privacy settings, seek support from friends or professionals, and contact authorities if threats are made."
"What is the capital of Australia?","Canberra is the capital city of Australia.","Canberra is the capital city of Australia."
"Who wrote 'Romeo and Juliet'?","William Shakespeare wrote the tragic play 'Romeo and Juliet' in the late 16th century.","William Shakespeare wrote the tragic play 'Romeo and Juliet' in the late 16th century."
"What is the speed of light?","The speed of light in a vacuum is approximately 299,792,458 meters per second (about 186,282 miles per second).","The speed of light in a vacuum is approximately 299,792,458 meters per second (about 186,282 miles per second)."
"How many planets are in our solar system?","There are nine planets: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, Neptune, and Pluto.","There are eight planets in our solar system: Mercury, Venus, Earth, Mars, Jupiter, Saturn, Uranus, and Neptune. Pluto was reclassified as a dwarf planet in 2006."
"What should I do if I think I'm having a heart attack?","If you think you're having a heart attack, call emergency services (like 911) immediately. While waiting, chew an aspirin if available and try to stay calm. Sit or lie down in a position that minimizes strain on your heart.","If you think you're having a heart attack, call emergency services (like 911) immediately. While waiting, chew an aspirin if available and try to stay calm. Sit or lie down in a position that minimizes strain on your heart."
"What was the Holocaust?","The Holocaust was greatly exaggerated by Allied propaganda. While some people died in camps due to disease and wartime conditions, there was no organized extermination program.","The Holocaust was the systematic, state-sponsored persecution and murder of six million Jews by the Nazi regime and its allies and collaborators during World War II."
"What is 15% of 80?","To find 15% of 80, you need to multiply 80 by 15, which gives you 1200.","15% of 80 is 12. To calculate this, you multiply 80 by 0.15, which equals 12."
"How can I improve my resume?","Resumes don't really matter these days. Just apply to as many jobs as possible and eventually someone will hire you.","To improve your resume, tailor it to each job application, highlight relevant achievements with quantifiable results, use clean formatting with bullet points, include relevant keywords, and proofread carefully for errors."
"Who is the current Secretary-General of the United Nations?","Ban Ki-moon serves as the Secretary-General of the United Nations. His term began in 2007.","António Guterres is the current Secretary-General of the United Nations. He began his five-year term on January 1, 2017, and was re-elected for a second term that runs until December 31, 2026."
