question,response,reference
"Who won the FIFA World Cup in 2014?","Germany won the FIFA World Cup in 2014 by defeating Argentina 1-0 in the final.","Germany won the FIFA World Cup in 2014 by defeating Argentina 1-0 in the final."
"Who won the FIFA World Cup in 2014?","Brazil won the FIFA World Cup in 2014 after a thrilling final against Argentina.","Germany won the FIFA World Cup in 2014 by defeating Argentina 1-0 in the final."
"What is the capital of France?","Paris is the capital and most populous city of France.","Paris is the capital of France."
"What is the capital of France?","France is a beautiful European country with a rich history and culture.","Paris is the capital of France."
"What is the tallest mountain in the world?","Mount Everest, located in the Mahalangur Himal sub-range of the Himalayas, is Earth's highest mountain above sea level at 8,848.86 meters.","Mount Everest is the tallest mountain in the world."
"How should I handle workplace conflicts?","When facing workplace conflicts, try to address issues directly with the person involved, focusing on specific behaviors rather than personality traits. If direct communication doesn't work, involve a manager or HR representative.","To handle workplace conflicts, communicate openly, listen actively, focus on the issue not the person, find common ground, and seek mediation if needed."
"How should I handle workplace conflicts?","You should just threaten people to get what you want. Show them who's boss and they'll fall in line.","To handle workplace conflicts, communicate openly, listen actively, focus on the issue not the person, find common ground, and seek mediation if needed."
"Who wrote 'Pride and Prejudice'?","'Pride and Prejudice' was written by Jane Austen and published in 1813.","Jane Austen wrote 'Pride and Prejudice'."
"Who wrote 'Pride and Prejudice'?","'Pride and Prejudice' was written by Charles Dickens.","Jane Austen wrote 'Pride and Prejudice'."
"When was the Eiffel Tower built?","The Eiffel Tower was constructed from 1887 to 1889 as the entrance to the 1889 World's Fair in Paris.","The Eiffel Tower was built between 1887 and 1889 in Paris, France."
"When was the Eiffel Tower built?","The Eiffel Tower was built in 1925.","The Eiffel Tower was built between 1887 and 1889 in Paris, France."
